youtube_link,video_creator ,video_duration
https://www.youtube.com/watch?v=B_gGpdUVe8o,Tzuyang,1062
https://www.youtube.com/watch?v=6bNOnXTe4Ok,Olympics,575
https://www.youtube.com/watch?v=rR4n-0KYeKQ,Joma Tech,72
https://www.youtube.com/watch?v=NDsO1LT_0lw,MrBeast,1303
https://www.youtube.com/watch?v=IkeZX2hnoOk,BANGTANTV,69
https://www.youtube.com/watch?v=dKGjGlIYlcw,Sidemen,5085
https://www.youtube.com/watch?v=mx-7WhRbDVc,saranghoe,724
https://www.youtube.com/watch?v=JmJ1JL0xxtQ,GMMTV OFFICIAL,1006
https://www.youtube.com/watch?v=l0Sit0FORk4,JYP ENTERTAINMENT,67
https://www.youtube.com/watch?v=svCYbkS0Sjk,Bloomberg Originals,169
https://www.youtube.com/watch?v=qKVnPXAMfq0,FilterCopy,196
https://www.youtube.com/watch?v=EmdMea48M-g,JEBBEY FAMILY,598
https://www.youtube.com/watch?v=lCr1GMiTlL4,Jalin Su,920
https://www.youtube.com/watch?v=f6NigurDekg,[햄지]Hamzy,717
https://www.youtube.com/watch?v=ukPM6QHot8A,JianHao Tan,949
https://www.youtube.com/watch?v=9gqOgQ6Ci4M,StrayKids,194
https://www.youtube.com/watch?v=zNqtPQjtCbw,Rosie Maio,880
https://www.youtube.com/watch?v=7KDRMzpvUqw,Merrelltwins,1368
https://www.youtube.com/watch?v=9v8J7iidjqc,5-Minute Crafts TEENS,3651
https://www.youtube.com/watch?v=wxvXwr3cDr0&pp=ygUDY25u,CNN,506
https://youtu.be/alXI1kDhmT0?si=6IWbhiLDhT2yMX9g ,The Economist,921
https://youtu.be/IoHFpAfZ7FQ?si=sqI8TdBuZ4rVbo2e,Lilly Singh,1029
https://youtu.be/ZOqdmzKjc0g?si=OA9_8MZ7Pr_J2Px-,Alana Lintao,824
https://youtu.be/e7c0BW2Twg4?si=siU1N4F3aE-LUuoo,The Daily Show,665
https://youtu.be/7uiyz3139tE?si=MrBxsJvMZVtP5_wl,TED-Ed,306
https://youtu.be/xIH6fIsONE4?si=SUy88A5zyloPYwtV,OxfordUnion,648
https://youtu.be/mpgSC9E0yE0?si=bq-UA5BznWzVQyAn,Madhur Virli,1127
https://youtu.be/vflWLItnwfA?si=anCQWgtpCmOCva0V,Zakir Khan,1447
https://youtu.be/opqIa5Jiwuw?si=4Y2V-efzNcsuGubd,Wired,583
https://youtu.be/FGTrazGV5O4?si=iIt51J-PKu9z_-cw,Kenny Sebastian,248
https://youtu.be/6c3mAtStIxo?si=_6Jiomex_gvQqsw3,Aditya Gadhvi,259
https://youtu.be/qETJUP56u9Q?si=HXDC9RzE5fS7-shG,SolidWorks Tutorial,6241
https://youtu.be/gR2jLvyP-g8?si=3DOwz0oFWMVjuVs2,The Rebel Kid,1382
https://youtu.be/UiVYFFRs_BE?si=7CZ-WSC5AU45qu3Y,Physics Wallah - Alakh Pandey,3620
https://youtu.be/kt1AFpL5tAA?si=sqvsOaDkzLsBc67s,Michael Knowles,841
https://youtu.be/WsLUI9KmesQ?si=iYGo2RFIlpjKL-7O,Azeem Banatwalla,672
https://youtu.be/ODodsc3jmno?si=AOTS5fJqwMoG2AkE,Gary Vee,2243
https://youtu.be/lCg_gh_fppI?si=yk9cqBLwd0yBw9bZ,blogilates,1724
https://youtu.be/BJQKY1Hdcok?si=_zw9HH_mFa-4MtdZ,shazza,251
https://www.youtube.com/watch?v=Vz0BD1v8N5U,First We Feast,1349
https://www.youtube.com/watch?v=_T73DugW_D8,The Paint Explorer,494
https://www.youtube.com/watch?v=NDsO1LT_0lw,MrBeast,1303
https://www.youtube.com/watch?v=tW7ItIBq7uQ,Architectural Digest India,291
https://www.youtube.com/watch?v=3SXhRX7_3js,Vogue,415
https://www.youtube.com/watch?v=OvgKAj9kyxg,Rotten Mango,3667
https://www.youtube.com/watch?v=bSDprg24pEA,Justin Sung,828
https://www.youtube.com/watch?v=gnQZ4kov8tM,IELTS Advantage,839
https://www.youtube.com/watch?v=arJLy3hX1E8,TED-Ed,310
https://youtu.be/eSyk_yb6dxM?si=SJJ1jRyIVUwrxTy1,Julie and Camilla,3029
https://www.youtube.com/watch?v=wyLGNVh4V7Y,Eat with Boki,504
https://www.youtube.com/watch?v=NIH1iGtDvJY,This.,231
https://www.youtube.com/watch?v=qF4vZxbSmjo,Marques Brownlee,880
https://www.youtube.com/watch?v=D0Bd9Es4_Lk,TOMORROW X TOGETHER OFFICIAL,1864
https://www.youtube.com/watch?v=IhA4XU8ju7A,Vanity Fair,952
https://www.youtube.com/watch?v=oAHbLRjF0vo,CGP Grey,508
https://www.youtube.com/watch?v=iSNsgj1OCLA,Veritasium,1065
https://www.youtube.com/watch?v=GxmfcnU3feo,Programming with Mosh,915
https://www.youtube.com/watch?v=1UnIDL-eHOs,Vox,322
https://www.youtube.com/watch?v=j0juJch9f5g,Dhruv Rathee,955
https://www.youtube.com/watch?v=xi6r3hZe5Tg&pp=ygUTbmF0aW9uYWwgZ2VvZ3JhcGhpYw%3D%3D,National Geographic,2665
https://www.youtube.com/watch?v=7MFKy7DJsCY&pp=ygUTbmF0aW9uYWwgZ2VvZ3JhcGhpYw%3D%3D,National Geographic,2665
https://www.youtube.com/watch?v=77omYd0JOeA&pp=ygULZW5naW5lZXJpbmc%3D,Primal Space,568
https://www.youtube.com/watch?v=EVnY-K75tl8&pp=ygUMY2hvdHRhIGJoZWVt,Green Gold Kids,1820
https://www.youtube.com/watch?v=G1p6rlDCxq0&pp=ygUDd2Fy,Epic History,3890
https://www.youtube.com/watch?v=9rIy0xY99a0&pp=ygUGcmFuZG9t,Vsauce,672
https://www.youtube.com/shorts/smpTXWpw8-w,Wealth with Rohit,29
https://www.youtube.com/watch?v=AYZ2N2qQE0A&pp=ygUHZW5nbGlzaA%3D%3D,English with Lucy',876
https://www.youtube.com/watch?v=RtyaNO_ePVM&pp=ygUHZW5nbGlzaA%3D%3D,BBC Learning English,518
https://www.youtube.com/shorts/3Gkke_9WU10,The Futur,53
